codigo_no_vigente,descripcion_no_vigente,accion,codigo_reemplazo,descripcion_reemplazo
;,;,CÓDIGO NUEVO,901243,HEMOCULTIVO PARA MICOBACTERIAS CADA MUESTRA
;,;,CÓDIGO NUEVO,903896,CISTATINA C
;,;,CÓDIGO NUEVO,905107,HEPARINA NO FRACCIONADA DOSIFICACION
;,;,CÓDIGO NUEVO,908442,ESTUDIO MOLECULAR DE SECUENCIA DE GENOMA COMPLETO
;,;,CÓDIGO NUEVO,908443,ESTUDIO MOLECULAR DE ADN LIBRE CIRCULANTE (ESPECIFICO)
;,;,CÓDIGO NUEVO,908444,ESTUDIO MOLECULAR DE EXPANSION DE MUTACIONES DINAMICAS (ESPECIFICO)
;,;,CÓDIGO NUEVO,908445,ESTUDIO MOLECULAR DE ARN O MICRO ARN (ESPECIFICO)
;,;,CÓDIGO NUEVO,908446,ESTUDIO MOLECULAR DE METILACION O IMPRONTA [IMPRINTING] EN GENES (ESPECIFICO)
;,;,CÓDIGO NUEVO,908447,ESTUDIO MOLECULAR DE SECUENCIA DE EXOMA (ESPECIFICO)
;,;,CÓDIGO NUEVO,921402,TOMOGRAFIA POR EMISION DE POSITRONES [PET-TC] CON 18- FLUOR
;,;,CÓDIGO NUEVO,921403,TOMOGRAFIA POR EMISION DE POSITRONES [PET-TC] CON CARBONO 11
;,;,CÓDIGO NUEVO,921404,TOMOGRAFIA POR EMISION DE POSITRONES [PET-TC] CON GALIO 68
;,;,CÓDIGO NUEVO,921405,TOMOGRAFIA POR EMISION DE POSITRONES [PET-TC] CON PSMA
;,;,CÓDIGO NUEVO,921406,TOMOGRAFIA POR EMISION DE POSITRONES [PET-TC] CON NAF
;,;,CÓDIGO NUEVO,921501,TOMOGAMMAGRAFIA [SPECT/TC]
;,;,CÓDIGO NUEVO,921902,RADIOMARCACION O RADIOLOCALIZACION DE LESIONES OCULTAS
;,;,CÓDIGO NUEVO,922802,TERAPIA CON LUTECIO 177
;,;,CÓDIGO NUEVO,922803,TERAPIA CON YODO RADIACTIVO (131-I)
;,;,CÓDIGO NUEVO,922804,TERAPIA CON RADIO 223
;,;,CÓDIGO NUEVO,922806,TERAPIA CON OTRO RADIOISOTOPO
;,;,CÓDIGO NUEVO,933401,TERAPIA DE REHABILITACION VASCULAR PERIFERICA
;,;,CÓDIGO NUEVO,933402,TERAPIA DE REHABILITACION LINFATICA
;,;,CÓDIGO NUEVO,954315,PRUEBA DE RECONOCIMIENTO AUDITIVO DE FRASES FONETICAMENTE BALANCEADAS EN RUIDO
;,;,CÓDIGO NUEVO,954316,PRUEBA DE RUIDO DE EQUALIZACION DE UMBRAL
