codigo,nombre,capitulo,vigente
013106,DRENAJE DE ESPACIO SUBDURAL- POR DERIVACIÓN SUBDURO PERITONEAL,CapItulo 01 SISTEMA NERVIOSO,1
013107,INCISIÓN DE MENINGES CEREBRALES,CapItulo 01 SISTEMA NERVIOSO,1
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,CapItulo 01 SISTEMA NERVIOSO,1
013201,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
013202,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES)- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013204,SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013205,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013206,SECCIÓN DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013207,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013208,SECCIÓN DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013209,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013210,SECCIÓN COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMÍA) VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013211,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013212,AMIGDALOHIPOCAMPECTOMÍA SELECTIVA (TRACTO CEREBRAL) CON ABLACIÓN,CapItulo 01 SISTEMA NERVIOSO,1
013213,AMIGDALOHIPOCAMPECTOMÍA SUPRASELECTIVA (TRACTO CEREBRAL) VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013214,TRACTOTOMÍA LOBAR POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013215,TRACTOTOMÍA LOBAR VÍA ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
013216,CINGULOTOMÍA ESTEREOTÁCTICA,CapItulo 01 SISTEMA NERVIOSO,1
013217,CINGULOTOMÍA POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
013218,CINGULOTOMÍA CON ABLACIÓN,CapItulo 01 SISTEMA NERVIOSO,1
013219,TRACTOTOMÍA MESENCEFÁLICA U OTRA LESIÓN DE TALLO CEREBRAL,CapItulo 01 SISTEMA NERVIOSO,1
014103,TALAMOTOMÍA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
014201,PALIDOTOMÍA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
014301,SUBTALAMOTOMÍA POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
014401,LESIÓN EN OTRAS ESTRUCTURAS SUBCORTICALES,CapItulo 01 SISTEMA NERVIOSO,1
015101,RESECCIÓN TUMOR ÓSEO- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
015102,RESECCIÓN TUMOR ÓSEO- POR CRANIECTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
