codigo_cups,codigo_soat,descripcion_soat,clase,cobertura,uvb,valor_pesos
013204,1142,LOBOTOMIA (PSICOCIRUGIA ESTEREOTAXICA),GRUPO,POS,12,3641200
013204,1262,NUCLEOTOMIA PERCUTANEA,GRUPO,POS,22,4980800
013205,,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,,POS,,
013206,,SECCION DEL CUERPO CALLOSO SEGMENTO ANTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,,POS,,
013207,,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) POR CRANEOTOMIA,,POS,,
013208,,SECCION DEL CUERPO CALLOSO SEGMENTO POSTERIOR (CALLOSOTOMIA) VIA ENDOSCOPICA,,POS,,
013209,,SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) POR CRANEOTOMIA,,POS,,
013210,,SECCION COMPLETA DEL CUERPO CALLOSO (CALLOSOTOMIA) VIA ENDOSCOPICA,,POS,,
013211,,AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) POR CRANEOTOMIA,,POS,,
013212,,AMIGDALOHIPOCAMPECTOMIA SELECTIVA (TRACTO CEREBRAL) CON ABLACION,,POS,,
013213,,AMIGDALOHIPOCAMPECTOMIA SUPRASELECTIVA (TRACTO CEREBRAL) VIA ENDOSCOPICA,,POS,,
013214,,TRACTOTOMIA LOBAR POR CRANEOTOMIA,,POS,,
013215,,TRACTOTOMIA LOBAR VIA ENDOSCOPICA,,POS,,
013216,,CINGULOTOMIA ESTEREOTACTICA,,POS,,
013217,,CINGULOTOMIA POR CRANEOTOMIA,,POS,,
013218,,CINGULOTOMIA CON ABLACION,,POS,,
013219,,TRACTOTOMIA MESENCEFALICA U OTRA LESION DE TALLO CEREBRAL,,POS,,
014103,1262,NUCLEOTOMIA PERCUTANEA,GRUPO,POS,22,4980800
014201,1262,NUCLEOTOMIA PERCUTANEA,GRUPO,POS,22,4980800
014301,1262,NUCLEOTOMIA PERCUTANEA,GRUPO,POS,22,4980800
014401,1262,NUCLEOTOMIA PERCUTANEA,GRUPO,POS,22,4980800
015101,1162,CRANEOPLASTIA PARA CORRECCION DE DEFECTO POR RESECCION DEL TUMOR OSEO O INFECCION,GRUPO,POS,20,3572100
015102,1162,CRANEOPLASTIA PARA CORRECCION DE DEFECTO POR RESECCION DEL TUMOR OSEO O INFECCION,GRUPO,POS,20,3572100
015103,,ESCISION DE LESION CRANEAL,,POS,,
015104,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
015104,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
015104,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
015201,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
015202,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
015203,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
015204,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
015205,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
015206,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
