codigo_iss,clase,codigo_cups,descripcion,tipo_valor,uvr,valor_pesos
25132,PB,372300,CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQUIERDO DEL CORAZON SOD (43)(141),PESOS,,394445
25133,PB,372400,CATETERISMO TRANSEPTAL DE CORAZON SOD (43),PESOS,,256175
25134,PB,876121,ARTERIOGRAFIA CORONARIA CON CATETERISMO DERECHO E IZQUIERDO (356),PESOS,,346775
25135,PB,876122,ARTERIOGRAFIA CORONARIA CON CATETERISMO IZQUIERDO (43),PESOS,,327310
25136,PB,876120,ARTERIOGRAFIA CORONARIA NCOC (329),PESOS,,412125
25137,PB,360101,"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA, UNO O DOS VASOS (44) control (44)",PESOS,,437365
25137,PB,360201,"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA SIMPLE CON INFUSION DE AGENTE TROMBOLITICO, UNO O DOS VASOS (44)",PESOS,,437365
25138,PB,360102,"ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA, MAS DE DOS VASOS (44)",PESOS,,499845
25138,PB,360500,ANGIOPLASTIA CORONARIA TRANSLUMINAL PERCUTANEA MULTIPLE (ATERECTOMIA CORONARIA) REALIZADA DURANTE LA MISMA INTERVENCION SOD (44),PESOS,,499845
25139,PB,360600,INSERCIÓN O IMPLANTE DE PROTESIS INTRACORONARIA (STENT) SOD (40),PESOS,,109340
25141,PB,350100,COMISUROTOMIA O VALVULOTOMIA AORTICA CON BALON (VIA ENDOVASCULAR) SOD *,PESOS,,624810
25141,PB,350300,COMISUROTOMIA O VALVULOTOMIA PULMONAR CON BALON (VIA ENDOVASCULAR) SOD * (45),PESOS,,624810
25141,PB,350200,COMISUROTOMIA O VALVULOTOMIA MITRAL CON BALON (VIA ENDOVASCULAR) SOD* (45),PESOS,,624810
25141,PB,350400,COMISUROTOMIA/VALVULOTOMIA TRICUSPIDEA CON BALON (VÍA ENDOVASCULAR) SOD * (45),PESOS,,624810
25142,PB,360401,INFUSION ARTERIAL INTRACORONARIA DE TROMBOLITICOS (TROMBOLISIS INTRACORONARIA) VIA ENDOVASCULAR,PESOS,,291000
25143,PB,895903,AURICULOGRAMA IZQUIERDO,PESOS,,130290
25144,PB,358303,CIERRE DE DUCTUS ARTERIOSO PERSISTENTE POR VIA ENDOVASCULAR (CATETERISMO) (337),PESOS,,427540
25145,PB,355102,"REPARACION DE DEFECTO DE TABIQUE INTERAURICULAR CON PROTESIS, POR VIA ENDOVASCULAR [PERCUTANEA, O CON CATETERISMO] [SOMBRILLA] [KING-MILLS] (338)",PESOS,,618510
25146,,895801,ULTRASONIDO INTRAVASCULAR DIAGNOSTICO,PESOS,,226490
25147,PB,354200,ATRIOSEPTOSTOMIA CON BALON O CUHILLA [PROCEDIMIENTO DE RASHKIND O PARKER] SOD * (339),PESOS,,577350
25148,PB,358710,REPARACION DE COARTACION AORTICA POR VIA ENDOVASCULAR (CATETERISMO) (340),PESOS,,598975
25160,PB,372501,ESTUDIO ELECTROFISIOLOGICO CARDIACO TRANS ESOFAGICO (259),PESOS,,181000
25161,PB,372101,CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON CON ESTUDIO ELECTROFISIOLOGICO INTRACARDIACO [ESTUDIO ELECTROFISIOLOGICO CARDIACO CONVENCIONAL],PESOS,,484215
25162,PB,372301,CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQUIERDO DEL CORAZON CON ESTUDIO ELECTROFISIOLOGICO,PESOS,,749295
25163,PB,372401,CATETERISMO TRANSEPTAL DEL CORAZON CON ESTUDIO ELECTROFISILOGICO,PESOS,,730085
25164,PB,895001,ELECTROCARDIOGRAFIA DINAMICA (HOLTER),PESOS,,124040
25168,PB,996101,CARDIOVERSIÓN ELÉCTRICA A TORAX CERRADO ELECTIVA,PESOS,,95195
25169,PB,377800,INSERCION DE MARCAPASO TRANSVENOSO TEMPORAL (TRANSITORIO) O IMPLANTE DE MONITOR DE EVENTOS SOD,PESOS,,227340
25170,PB,378200,IMPLANTACION DE MARCAPASO UNICAMERAL SOD * (341),PESOS,,374190
25171,PB,378300,INSERCION DE MARCAPASOS BICAMERAL SOD * (341),PESOS,,475400
25173,PB,378900,RETIRO O ELIMINACION DE MARCAPASOS CARDIACO SOD * (46) APLICA: para la reposición del electrodo y la explantación (46),PESOS,,395710
05705,PB,379900,EXTRACCION DE CARDIOVERSOR/ DESFIBRILADOR AUTOMATICO SOD,PESOS,,395710
25175,PB,378500,REVISION [REPROGRAMACION] DE APARATO MARCAPASO SOD *,PESOS,,39670
25176,PB,379500,REPROGRAMACION DE CARDIOVERSOR/DESFIBRILADOR SOD *,PESOS,,63565
